Country;Freedom hous rates
Afghanistan;8
Albania;67
Algeria;32
Angola;28
Anguilla;
Antigua and Barbuda;85
Argentina;85
Armenia;54
Australia;95
Austria;93
Azerbaijan;9
Bahrain;12
Bangladesh;40
Barbados;94
Belarus;8
Belgium;96
Belize;87
Benin;59
Bhutan;61
Bolivia ;66
Bosnia and Herzegovina;52
Botswana;72
Brazil;72
Bulgaria;30
Burkina Faso;30
Burundi;14
Cabo Verde;92
Cambodia;24
Cameroon;15
Canada;98
Central African Republic;7
Chad;15
China;9
Hong Kong ;
Taiwan;
Colombia;70
Comoros;42
Congo;19
Cook Islands;
Costa Rica;
Céte d'Ivoire;
Croatia;84
Cuba;12
Czech Republic;92
Korea;
Congo;
Denmark;97
Djibouti;24
Dominica;93
Dominican Republic;
Ecuador;70
Egypt;18
El Salvador;56
Equatorial Guinea;5
Eritrea;3
Estonia;94
Ethiopia;21
Fiji;59
Finland;100
France;89
Gabon;20
Gambia;
Georgia;58
Germany;94
Ghana;80
Greece;86
Grenada;89
Grenada;89
Guadeloupe;
Guam;
Guatemala;49
Guinea;30
Guinea-Bissau;43
Guyana;73
Haiti;31
Honduras;48
Hungary;66
India;66
Indonesia;58
Iraq;29
Ireland;97
Israel;77
Italy;90
Jamaica;80
Japan;96
Jordan;33
Kazakhstan;23
Kenya;52
Kiribati;91
Kuwait;37
Kyrgyzstan;27
Lao People's Democratic Republic;
Latvia;88
Lebanon;43
Lesotho;66
Liberia;
Liberia;60
Libya;10
Lithuania;89
Madagascar;61
Malawi;66
Malaysia;53
Maldives;41
Mali;29
Malta;89
Marshall Islands;93
Mauritania;36
Mauritius;85
Mexico;60
Mongolia;84
Montenegro;67
Montserrat;
Morocco;37
Mozambique;45
Myanmar;9
Nauru;77
Nepal;58
Netherlands;97
New Zealand;99
Nicaragua;19
Niger;51
Nigeria;43
North Macedonia;68
Northern Mariana Islands;
Norway;100
Oman;24
Pakistan;37
Palau;92
Panama;83
Papua New Guinea;61
Paraguay;65
Peru;70
Philippines;58
Poland;81
Portugal;96
Puerto Rico;
Qatar;25
Korea;
 Moldova;62
Romania;
Romania;
Romania;
Romania;
Romania;83
Russia;16
Rwanda;23
Saint Kitts and Nevis;89
Saint Lucia;92
Saint Vincent and the Grenadines;91
Samoa;
Sao Tome and Principe;
Saudi Arabia;8
Senegal;68
Serbia;60
Sierra Leone;63
Singapore;47
Slovakia;90
Slovenia;95
Solomon Islands;76
Somalia;8
South Africa;79
Spain;90
Sri Lanka;
State of Palestine;
Sudan;
Suriname;
Swaziland;
Sweden;100
Switzerland;96
Syrian Arab Republic;1
Tajikistan;7
Thailand;30
Timor-Leste;72
Togo;42
Tonga;81
Trinidad and Tobago;82
Tunisia;56
Turkey;32
Turkmenistan;
Turks and Caicos Islands;
Tuvalu;93
Uganda;35
Ukraine;50
United Arab Emirates;18
United Kingdom;93
Tanzania;36
United States of America;83
United States Virgin Islands;
Uruguay;96
Uzbekistan;12
Vanuatu;82
Venezuela ;15
Viet Nam;19
Yemen;9
Zambia;54
Zimbabwe;28
