;Country;Unemployment female
ÊAfghanistan?*;Afghanistan;16.8
ÊAlbania?*;Albania;11.8
ÊAlgeria?*;Algeria;20.3
ÊAndorra?*;Andorra;
ÊAngola?*;Angola;15.8
ÊAntigua and Barbuda?*;Antigua and Barbuda;8.8
ÊArgentina?*;Argentina;9.8
ÊArmenia?*;Armenia;7.3
ÊAruba?*;Aruba;7.8
ÊAustralia?*;Australia;3.6
ÊAustria?*;Austria;6.4
ÊAzerbaijan?*;Azerbaijan;7.0
ÊBahrain?*;Bahrain;3.9
ÊBangladesh?*;Bangladesh;6.7
ÊBarbados?*;Barbados;7.3
ÊBelarus?*;Belarus;3.1
ÊBelgium?*;Belgium;5.9
ÊBelize?*;Belize;15.1
ÊBenin?*;Benin;1.7
ÊBermuda?*;Bermuda;8.1
ÊBhutan?*;Bhutan;6.1
ÊBolivia?*;Bolivia;5.7
ÊBosnia and Herzegovina?*;Bosnia and Herzegovina;18.1
ÊBotswana?*;Botswana;25.9
ÊBrazil?*;Brazil;11.5
ÊBritish Virgin Islands?*;Brunei;6.4
ÊBrunei?*;Bulgaria;5.0
ÊBulgaria?*;Burkina Faso;4.6
ÊBurkina Faso?*;Burundi;1.0
ÊBurundi?*;Cambodia;0.5
ÊCambodia?*;Cameroon;2.0
ÊCameroon?*;Canada;5.1
ÊCanada?*;Cape Verde;12.1
ÊCape Verde?*;Central African Republic;
ÊCayman Islands?*;Chad;0.8
ÊCentral African Republic?*;Chile;8.8
ÊChad?*;China;4.2
ÊChile?*;Colombia;13.2
ÊChina?*;Comoros;6.5
ÊCocos (Keeling) Islands?*;Costa Rica;15.2
ÊColombia?*;Croatia;8.0
ÊComoros?*;Cuba;1.8
ÊCongo?*;Curacao;20.3
ÊCook Islands?*;Cyprus;8.0
ÊCosta Rica?*;Czech Republic;3.4
ÊCroatia?*;Democratic Republic of the Congo;10.8
ÊCuba?*;Denmark;5.1
ÊCyprus?*;Djibouti;35.9
ÊCzech Republic?*;Dominica;9.4
ÊDenmark?*;Dominican Republic;12.3
ÊDjibouti?*;East Timor;
ÊDominica?*;Ecuador;5.7
ÊDominican Republic?*;Egypt;16.1
ÊDR Congo?*;El Salvador;4.8
ÊEast Timor?*;Equatorial Guinea;19.4
ÊEcuador?*;Eritrea;
ÊEgypt?*;Estonia;5.5
ÊEl Salvador?*;Eswatini;24.4
ÊEquatorial Guinea?*;Ethiopia;5.3
ÊEritrea?*;Faroe Islands;4.8
ÊEstonia?*;Fiji;5.5
ÊEswatini?*;Finland;7.0
ÊEthiopia?*;France;7.8
ÊEuropean Union?*;French Polynesia;12.8
ÊFaroe Islands?*;Gabon;28.5
ÊFiji?*;Georgia;10.2
ÊFinland?*;Germany;3.2
ÊFrance?*;Ghana;3.5
ÊFrench Polynesia?*;Greece;18.9
ÊGabon?*;Greenland;9.3
ÊGambia?*;Grenada;21.8
ÊGeorgia?*;Guam;10.8
ÊGermany?*;Guatemala;2.8
ÊGhana?*;Guinea;5.1
ÊGibraltar?*;Guinea;
ÊGreece?*;Guyana;15.1
ÊGreenland?*;Haiti;17.3
ÊGrenada?*;Honduras;13.7
ÊGuam?*;Hong Kong;4.2
ÊGuatemala?*;Hungary;4.2
ÊGuernsey?*;Iceland;6.3
ÊGuinea?*;India;4.6
ÊGuinea-Bissau?*;Indonesia;3.1
ÊGuyana?*;Iran;16.0
ÊHaiti?*;Iraq;28.3
ÊHonduras?*;Ireland;6.2
ÊHong Kong?*;Isle of Man;2.3
ÊHungary?*;Israel;4.7
ÊIceland?*;Italy;10.6
ÊIndia?*;Ivory Coast;
ÊIndonesia?*;Jamaica;10.3
ÊIran?*;Japan;2.4
ÊIraq?*;Jordan;26.2
ÊIreland?*;Kazakhstan;5.4
ÊIsle of Man?*;Kenya;5.3
ÊIsrael?*;Kiribati;12.3
ÊItaly?*;Kuwait;5.8
ÊIvory Coast?*;Kyrgyzstan;4.3
ÊJamaica?*;Laos;2.8
ÊJapan?*;Latvia;6.5
ÊJersey?*;Lebanon;14.3
ÊJordan?*;Lesotho;19.1
ÊKazakhstan?*;Liberia;5.7
ÊKenya?*;Libya;25.1
ÊKiribati?*;Liechtenstein;2.5
ÊKosovo?*;Lithuania;6.6
ÊKuwait?*;Luxembourg;5.6
ÊKyrgyzstan?*;Macau;2.2
ÊLaos?*;Madagascar;1.8
ÊLatvia?*;Malawi;1.1
ÊLebanon?*;Malaysia;4.7
ÊLesotho?*;Maldives;3.9
ÊLiberia?*;Mali;3.5
ÊLibya?*;Malta;3.1
ÊLiechtenstein?*;Marshall Islands;4.3
ÊLithuania?*;Mauritania;14.8
ÊLuxembourg?*;Mauritius;9.1
ÊMacau?*;Mexico;3.3
ÊMadagascar?*;Micronesia;13.9
ÊMalawi?*;Moldova;0.7
ÊMalaysia?*;Mongolia;7.3
ÊMaldives?*;Montenegro;18.4
ÊMali?*;Morocco;16.7
ÊMalta?*;Mozambique;3.7
ÊMarshall Islands?*;Myanmar;2.1
ÊMauritania?*;Namibia;18.6
ÊMauritius?*;Nepal;12.0
ÊMayotte?*;Netherlands;4.5
ÊMexico?*;New Caledonia;12.9
ÊMicronesia?*;New Zealand;3.9
ÊMoldova?*;Nicaragua;5.3
ÊMonaco?*;Niger;7.8
ÊMongolia?*;Nigeria;12.5
ÊMontenegro?*;North Korea;
ÊMontserrat?*;North Macedonia;12.5
ÊMorocco?*;Norway;4.2
ÊMozambique?*;Oman;5.6
ÊMyanmar?*;Pakistan;9.2
ÊNamibia?*;Palau;1.0
ÊNauru?*;Panama;9.8
ÊNepal?*;Papua New Guinea;1.4
ÊNetherlands?*;Paraguay;8.2
ÊNetherlands Antilles;Peru;5.6
ÊNew Caledonia?*;Philippines;3.8
ÊNew Zealand?*;Poland;3.4
ÊNicaragua?*;Portugal;6.9
ÊNiger?*;Qatar;0.5
ÊNigeria?*;Republic of the Congo;10.8
ÊNiue?*;Romania;5.0
ÊNorth Korea?*;Russia;4.8
ÊNorth Macedonia?*;Russia;
ÊNorthern Mariana Islands?*;Rwanda;17.4
ÊNorway?*;Saint Martin;
ÊOman?*;Samoa;
ÊPakistan?*;San Marino;9.1
ÊPalau?*;Sao Tome and Principe;24.5
ÊPalestine?*;Saudi Arabia;17.3
ÊPanama?*;Senegal;3.0
ÊPapua New Guinea?*;Serbia;11.0
ÊParaguay?*;Seychelles;3.6
ÊPeru?*;Sierra Leone;2.2
ÊPhilippines?*;Singapore;3.8
ÊPoland?*;Sint Maarten;
ÊPortugal?*;Slovenia;5.3
ÊPuerto Rico?*;Solomon Islands;0.7
ÊQatar?*;Somalia;24.2
ÊRomania?*;South Africa;30.5
ÊRussia?*;South Korea;
ÊRwanda?*;South Sudan;
ÊSaint Helena?*;Spain;16.7
ÊSaint Kitts and Nevis?*;Sri Lanka;8.2
ÊSaint Lucia?*;Sudan;30.7
ÊSaint Pierre and Miquelon?*;Suriname;11.1
ÊSaint Vincent and the Grenadines?*;Sweden;9.1
ÊSamoa?*;Switzerland;5.3
ÊSan Marino?*;Syria;22.0
ÊS‹o Tom? and Pr’ncipe?*;Tajikistan;5.5
ÊSaudi Arabia?*;Tanzania;3.7
ÊSenegal?*;Thailand;1.3
ÊSerbia?*;The Bahamas;
ÊSierra Leone?*;The Gambia;
ÊSingapore?*;Togo;2.8
ÊSlovakia?*;Tonga;2.5
ÊSlovenia?*;Trinidad and Tobago;5.3
ÊSomalia?*;Tunisia;22.2
ÊSouth Africa?*;Turkey;14.7
ÊSouth Korea?*;Turkmenistan;2.3
ÊSouth Sudan?*;Uganda;4.0
ÊSpain?*;Ukraine;10.2
ÊSri Lanka?*;United Arab Emirates;6.2
ÊSudan?*;United Kingdom;3.5
ÊSuriname?*;United States;3.6
ÊSweden?*;Uruguay;9.1
ÊSwitzerland?*;Uzbekistan;7.7
ÊSyria?*;Vanuatu;4.1
ÊTaiwan?*;Venezuela;7.9
ÊTajikistan?*;Vietnam;1.4
ÊTanzania?*;Virgin Islands;
ÊThailand?*;Yemen;26.1
ÊTogo?*;Zambia;5.7
ÊTonga?*;Zimbabwe;9.9
ÊTrinidad and Tobago?*;;
ÊTunisia?*;;
ÊTurkey?*;;
ÊTurkmenistan?*;;
ÊU.S. Virgin Islands?*;;
ÊUganda?*;;
ÊUkraine?*[a];;
ÊUnited Arab Emirates?*;;
ÊUnited Kingdom?*;;
ÊUnited States?*;;
ÊUruguay?*;;
ÊUzbekistan?*;;
ÊVanuatu?*;;
ÊVenezuela?*;;
ÊVietnam?*;;
ÊWallis and Futuna?*;;
ÊYemen?*;;
ÊZambia?*;;
ÊZimbabwe?*;;
