Country;Use of contrapcetive
Afghanistan;18.9
Albania;46
Algeria;53.6
Angola;13.7
Anguilla;43
Antigua and Barbuda;52.6
Argentina;70.1
Armenia;57.1
Australia;66.9
Austria;79
Azerbaijan;54.9
Bahrain;53.4
Bangladesh;62.7
Barbados;59.2
Belarus;52.6
Belgium;66.7
Belize;51.4
Benin;15.5
Bhutan;65.6
Bolivia (Plurinational State of);66.5
Bosnia and Herzegovina;45.8
Botswana;67.4
Brazil;80.5
Bulgaria;69.2
Burkina Faso;35.3
Burundi;28.5
Cabo Verde;55.8
Cambodia;56.3
Cameroon;19.3
Canada;85
Central African Republic;17.8
Chad;8.1
China;84.5
Hong Kong ;66.7
Taiwan;75.2
Colombia;81
Comoros;19.4
Congo;30.1
Cook Islands;43.2
Costa Rica;70.9
CÈte d'Ivoire;27.8
Croatia;58
Cuba;69
Czech Republic;86.3
Korea;70.2
Congo;28.1
Denmark;76.5
Djibouti;19
Dominica;49.8
Dominican Republic;62.8
Ecuador;77.9
Egypt;58.5
El Salvador;71.9
Equatorial Guinea;12.6
Eritrea;8.4
Estonia;75.1
Ethiopia;37.7
Fiji;35.5
Finland;85.5
France;78.4
Gabon;31.1
Gambia;18.9
Georgia;40.6
Germany;67
Ghana;27.2
Greece;76.2
Grenada;31
Grenada;54.3
Guadeloupe;29.4
Guam;66.6
Guatemala;60.6
Guinea;10.9
Guinea-Bissau;20.6
Guyana;29.9
Haiti;34.3
Honduras;69.4
Hungary;61.6
India;66.7
Indonesia;55.5
Iraq;52.8
Ireland;73.3
Israel;68
Italy;65.1
Jamaica;72.5
Japan;39.8
Jordan;51.8
Kazakhstan;53
Kenya;64.6
Kiribati;33.5
Kuwait;52
Kyrgyzstan;39.4
Lao People's Democratic Republic;54.1
Latvia;67.8
Lebanon;54.5
Lesotho;64.9
Liberia;31.2
Liberia;24.9
Libya;27.7
Lithuania;68.8
Madagascar;49.7
Malawi;65.6
Malaysia;52.2
Maldives;18.8
Mali;17.2
Malta;85.8
Marshall Islands;44.6
Mauritania;11.5
Mauritius;63.8
Mexico;73.1
Mongolia;48.1
Montenegro;20.7
Montserrat;52.6
Morocco;70.8
Mozambique;27.1
Myanmar;52.2
Nauru;35.6
Nepal;46.7
Netherlands;73
New Zealand;79.9
Nicaragua;80.4
Niger;11
Nigeria;16.6
North Macedonia;59.9
Northern Mariana Islands;20.5
Norway;88.4
Oman;29.7
Pakistan;34
Palau;32.8
Panama;50.8
Papua New Guinea;36.7
Paraguay;68.4
Peru;77.4
Philippines;54.1
Poland;62.3
Portugal;73.9
Puerto Rico;84.1
Qatar;37.5
Korea;82.3
 Moldova;56
Romania;58
Romania;57.3
Romania;63.8
Romania;70.3
Romania;69.8
Russia;68
Rwanda;64.1
Saint Kitts and Nevis;40.6
Saint Lucia;55.5
Saint Vincent and the Grenadines;58.3
Samoa;16.6
Sao Tome and Principe;49.7
Saudi Arabia;27.9
Senegal;26.9
Serbia;62.3
Sierra Leone;21.2
Singapore;62
Slovakia;79.8
Slovenia;78.9
Solomon Islands;29.3
Somalia;6.9
South Africa;54.6
Spain;62.1
Sri Lanka;64.6
State of Palestine;57.3
Sudan;12.2
Suriname;39.1
Swaziland;66.1
Sweden;70.3
Switzerland;71.6
Syrian Arab Republic;53.9
Tajikistan;29.3
Thailand;73
Timor-Leste;26.1
Togo;23.9
Tonga;29.3
Trinidad and Tobago;40.3
Tunisia;50.7
Turkey;69.8
Turkmenistan;49.7
Turks and Caicos Islands;34.4
Tuvalu;23.7
Uganda;50.2
Ukraine;65.4
United Arab Emirates;27.5
United Kingdom;76.1
United Republic of Tanzania;38.4
United States of America;73.9
United States Virgin Islands;78.4
Uruguay;79.6
Uzbekistan;64.9
Vanuatu;49
Venezuela (Bolivarian Republic of);75
Viet Nam;72.8
Yemen;33.5
Zambia;49.6
Zimbabwe;66.8
