"Country","Religion","Fertility","Life.expectancy","Unemployment","Alcohol","Years.school","Contraceptive","Maternity.days","GNI","Freedom","Migration.rate"
"Afghanistan","Islam",4.5,64.5,16.8,0.055,3.8,18.9,90,1871,8,-0.1
"Albania","Islam",1.6,72.29,11.8,2.68,10,46,365,10252,67,-3.22
"Algeria","Islam",3,76.7,20.3,0.25,8,53.6,98,13533,32,-0.81
"Angola","Christianity",5.5,60.8,15.8,3.1,5.1,13.7,90,6291,28,-0.19
"Antigua and Barbuda","Christianity",2,76.9,8.8,2.9,9.2,52.6,91,20907,85,2.01
"Argentina","Christianity",2.3,76.5,9.8,4.71,9.9,70.1,90,20945,85,-0.08
"Armenia","Christianity",1.8,74.9,7.3,2.55,11.7,57.1,140,8189,54,-5.28
"Australia","Christianity",1.7,83.3,3.6,5.18,12.9,66.9,99.9071428571429,42822,95,6.39
"Austria","Christianity",1.5,81.4,6.4,5.77,12.1,79,112,43609,93,3.54
"Azerbaijan","Islam",1.7,72.9,7,1.46,10.7,54.9,126,16413,9,0
"Bahrain","Islam",2,77.2,3.9,0.32,9.4,53.4,60,37236,12,-0.99
"Bangladesh","Islam",2,72.3,6.7,0.005,5.8,62.7,112,3341,40,-2.88
"Barbados","Christianity",1.6,79.1,7.3,4.09,10.6,59.2,84,14952,94,-0.29
"Belarus","Christianity",1.4,74.6,3.1,5.38,12.3,52.6,126,15629,8,0.72
"Belgium","Christianity",1.6,81.5,5.9,5.27,11.8,66.7,105,41243,96,4.18
"Belize","Christianity",2.3,74.5,15.1,2.59,10.5,51.4,98,7375,87,-0.95
"Benin","Christianity",4.8,61.5,1.7,1.14,3.6,15.5,98,1979,59,0.24
"Bhutan","Buddhism",2,71.5,6.1,0.16,3.1,65.6,56,7081,61,0
"Bosnia and Herzegovina","Christianity",1.3,77.3,18.1,2.7,9.7,45.8,365,10091,52,-0.38
"Botswana","Christianity",2.9,69.3,25.9,2.51,9.3,67.4,84,14663,72,2.77
"Brazil","Christianity",1.7,75.7,11.5,3.26,7.8,80.5,120,14145,72,-0.19
"Bulgaria","Christianity",1.6,74.9,5,5.68,11.8,69.2,410,16261,30,-0.29
